periodo_id,label,start_year,end_year,abr_code,abr_code_legacy,abr_code_legacy_additional,additional_label1,additional_label2,additional_label3,additional_label4,additional_label5,additional_label6,additional_label7,additional_label8,english_label1,english_label2
,Swifterbantcultuur,-5300,-3400,,,,Swifterbant,Swifterbant cultuur,,,,,,,,
,Ertebøllecultuur,-5300,-3950,,,,Ertebølle,Ertebolle,Ertebølle cultuur,Ertebolle cultuur,,,,,,
p0qhb66n38q,Vroeg Neolithicum,-5300,-4201,NEOV,,,Neolithicum vroeg,vroeg neolithisch,vroege neolithicum,vroege neolithische,,,,,,
p0qhb66cjjp,Vroeg Neolithicum A,-5300,-4901,NEOVA,,,Neolithicum vroeg A,,,,,,,,,
,Hinkelstein Groep,-5000,-4900,,,,Hinkelstein-Gruppe,Hinkelstein,,,,,,,,
p0qhb66sz9d,Vroeg Neolithicum B,-4900,-4201,NEOVA,,,Neolithicum vroeg B,,,,,,,,,
,Grossgartacher Cultuur,-4900,-4700,,,,Großgartacher Kultur,Grossgartacher,Großgartacher,,,,,,,
,Rössencultuur,-4500,-4000,,,,Rossencultuur,Rossen,Rössen,Rössen cultuur,,,,,,
,Michelsbergcultuur,-4400,-3500,,,,Michelsberg,Michelsberg cultuur,,,,,,,,
,Bischheimer cultuur,-4400,-4200,,,,Bischheimer,,,,,,,,,
,Trechterbekercultuur,-4350,-2700,,,,TRB,Trechterbeker,Trechterbeker cultuur,,,,,,,
p0qhb66r5sc,Midden Neolithicum,-4200,-2851,NEOM,,,Neolithicum midden,midden neolithisch,,,,,,,,
p0qhb669mbz,Midden Neolithicum A,-4200,-3401,NEOMA,,,Neolithicum Midden A,,,,,,,,,
,Subboreaal,-3660,-400,,,,,,,,,,,,,
,Hazendonk-3,-3600,-3400,,,,hazendonk,hazendonk 3,,,,,,,,
,Vlaardingencultuur,-3500,-2500,,,,Vlaardingen,Vlaardingen cultuur,,,,,,,,
,Stein-groep,-3500,-2500,,,,stein groep,stein,,,,,,,,
,Kogelamforacultuur,-3400,-2800,,,,Kugelamphoren-Kultur,Kogelamfora cultuur,Kogelamfora,,,,,,,
p0qhb66vx2h,Midden Neolithicum B,-3400,-2851,NEOMB,,,Neolithicum midden B,,,,,,,,,
,Seine-Oise-Marnecultuur,-3100,-2000,,,,SOM,Seine-Oise-Marne cultuur,marnecultuur,,,,,,,
